area,hourly_wage,area1,area2
구로구 구로동,6000,구로구,구로동
성동구 금호동4,6000,성동구,금호동4
영등포구 영등포동,6300,영등포구,영등포동
강남구 논현동,6200,강남구,논현동
강남구 대치동,6000,강남구,대치동
강남구 논현동,7500,강남구,논현동
강남구 청담동,6500,강남구,청담동
강동구 천호2동,6000,강동구,천호2동
강서구 등촌동,6600,강서구,등촌동
강서구 등촌동,6000,강서구,등촌동
관악구 인헌동,6000,관악구,인헌동
구로구 구로4동,6500,구로구,구로4동
구로구 개봉동,6200,구로구,개봉동
도봉구 창동,6500,도봉구,창동
동대문구 장안동,6300,동대문구,장안동
동대문구 장안동,6000,동대문구,장안동
마포구 성산2동,6000,마포구,성산2동
마포구 서교동,6000,마포구,서교동
마포구 동교동,6500,마포구,동교동
성동구 사근동,6500,성동구,사근동
송파구 송파동,6000,송파구,송파동
영등포구 여의도동,6000,영등포구,여의도동
영등포구 영등포동,6200,영등포구,영등포동
용산구 이태원동,6000,용산구,이태원동
은평구 진관동,6000,은평구,진관동
종로구 관수동,6480,종로구,관수동
종로구 낙원동,6480,종로구,낙원동
중구 충무로4,6000,중구,충무로4
중구 다동,6300,중구,다동
중구 명동2가,6690,중구,명동2가
중구 북창동,6500,중구,북창동
중구 신당동,6000,중구,신당동
강남구 논현동,6000,강남구,논현동
강남구 신사동,6100,강남구,신사동
강남구 대치4동,6000,강남구,대치4동
강남구 논현1동,6500,강남구,논현1동
강서구 방화동,6000,강서구,방화동
금천구 독산동,6300,금천구,독산동
금천구 가산동,6300,금천구,가산동
서대문구 신촌동,6900,서대문구,신촌동
서대문구 현저동,6500,서대문구,현저동
서대문구 충정로2,6000,서대문구,충정로2
서초구 반포4동,6000,서초구,반포4동
성동구 성수동1,6000,성동구,성수동1
용산구 한남동,6600,용산구,한남동
용산구 이태원동,7500,용산구,이태원동
은평구 대조동,6000,은평구,대조동
